v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,,,
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex",,,
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
ham,You still coming tonight?,,,
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?",,,
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,,,
ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different,,,
ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,,,
ham,how are you? I miss you!,,,
ham,Otherwise had part time job na-tuition..,,,
ham,"I'm not sure, I was just checking out what was happening around the area",,,
ham,"Sir Goodmorning, Once free call me.",,,
ham,How is your schedule next week? I am out of town this weekend.,,,
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,,,
ham,Well I might not come then...,,,
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",,,
ham,"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",,,
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",,,
ham,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,,,
ham,Ok then i will come to ur home after half an hour,,,
spam,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",,,
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,,,
ham,No need for the drug anymore.,,,
ham,How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...,,,
ham,I want to lick your pussy now...,,,
ham,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,,,
ham,Sorry about that this is my mates phone and i didnt write it love Kate,,,
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
ham,Nt yet chikku..simple habba..hw abt u?,,,
ham,He needs to stop going to bed and make with the fucking dealing,,,
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D",,,
ham,Whatsup there. Dont u want to sleep,,,
ham,"Yeah, probably earlier than that",,,
ham,"And that's fine, I got enough bud to last most of the night at least",,,
ham,"Thursday night? Yeah, sure thing, we'll work it out then",,,
ham,No message..no responce..what happend?,,,
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",,,
ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",,,
ham,"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\""""",,,
ham,Yes.. now only saw your message..,,,
ham,The new deus ex game comin early next yr,,,
ham,"If we hit it off, you can move in with me :)",,,
ham,Ok. C u then.,,,
ham,Shb b ok lor... Thanx...,,,
ham,Now project pa. After that only i can come.,,,
ham,\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON," CALL 2MWEN IM BK FRMCLOUD 9! J X\"""""
ham,K.k.this month kotees birthday know?,,,
ham,Does daddy have a bb now.,,,
ham,Oh all have to come ah?,,,
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass,,,
ham,Yep get with the program. You're slacking.,,,
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,,,
ham,"Goodmorning, Today i am late for  &lt;#&gt; min.",,,
